title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Bridge! 2: The Construction Game,http://fitgirl-repacks.site/bridge-2-the-construction-game/,2016-07-26,5,,,ENG/GEROriginal Size: 1.1 GBRepack Size: 461 MB,1126,461,0.41,
Broken Age: The Complete Adventure,http://fitgirl-repacks.site/broken-age-the-complete-adventure/,2016-07-18,8,,,RUS/ENG/MULTI6Original Size: 2 GBRepack Size: 1.5 GB,2048,1536,0.75,
Bubsy: The Woolies Strike Back,http://fitgirl-repacks.site/bubsy-the-woolies-strike-back/,2017-11-14,2,Arcade  Jump and run  Side  3D,Black Forest Games / Billion Soft,ENG/GER,854,498,0.58,
Bulletstorm: Full Clip Edition,http://fitgirl-repacks.site/bulletstorm-full-clip-edition/,2017-12-06,113,Action  Shooter  First-person  3D,People Can Fly / Gearbox Software,RUS/ENG/MULTI9,9932,4915,0.49,
Call of Duty: Black Ops + All DLCs + Zombies + Multiplayer,http://fitgirl-repacks.site/call-duty-black-ops-dlcs-zombies-multiplayer/,2017-01-06,372,Action  Shooter  First-person  3D,Treyarch / Activision,RUS/ENG/MULTI6,22630,7168,0.32,
Call of Duty: Black Ops 2 + 36 DLCs + MP with Bots + Zombie Mode,http://fitgirl-repacks.site/call-of-duty-black-ops-2/,2017-10-24,1,Action  Shooter  First-person  3D,Treyarch / Activision,RUS/ENG/MULTI7,37683,8601,0.23,
Call of Duty: Black Ops 3 – v88.0.0.0 + All DLCs,http://fitgirl-repacks.site/call-of-duty-black-ops-3/,2017-08-10,319,Action  Shooter  First-person  3D,Treyarch / Activision,RUS/ENG/MULTI9,166809,41062,0.25,
Call of Duty: Infinite Warfare – Digital Deluxe Edition,http://fitgirl-repacks.site/call-duty-infinite-warfare-digital-deluxe-edition/,2016-11-14,533,Action  Shooter  First-person  3D,Infinity Ward / Activision,RUS/ENG/MULTI10,97075,38604,0.4,
Call of Duty: Modern Warfare – Remastered + Update 2,http://fitgirl-repacks.site/call-duty-modern-warfare-remastered-update-2/,2016-11-09,403,Action  Shooter  First-person  3D,Raven Software  Infinity Ward  Activision,RUS/ENG/MULTI10,59494,27033,0.45,
Call of Duty: Modern Warfare 2 + 2 DLC,http://fitgirl-repacks.site/call-duty-modern-warfare-2-2-dlc/,2016-10-18,251,Action  Shooter  First-person  3D,Infinity Ward / Activision,RUS/ENG/MULTI7,41574,6758,0.16,
Call of Duty: WWII – Multiplayer + Nazi Zombies Add-on,http://fitgirl-repacks.site/call-of-duty-wwii-multiplayer-nazi-zombies-add-on/,2017-11-07,1,Action  Shooter  First-person  3D,Sledgehammer Games  Raven Software  Activision,RUS/ENG/MULTI10,27545,20070,0.73,
Call of Duty: WWII [RiP],http://fitgirl-repacks.site/call-of-duty-wwii/,2017-11-04,2,Action  Shooter  First-person  3D,Sledgehammer Games  Raven Software  Activision,RUS/ENG/MULTI10,91033,28364,0.31,
Candle,http://fitgirl-repacks.site/candle/,2016-11-13,20,Arcade  Platform adventure  Side  2D,Teku Studios / Daedalic Entertainment,RUS/ENG/MULTI10,5427,1945,0.36,
Car Mechanic Simulator 2015: Gold Edition v1.0.5.6 + 4 DLCs,http://fitgirl-repacks.site/car-mechanic-simulator-2015-gold-edition-v1-0-5-6-4-dlcs/,2016-07-19,10,,,RUS/ENG/MULTI12Original Size: 1.4 GBRepack Size: 864 MB,1433,864,0.6,
Car Mechanic Simulator 2018 – v1.5.1 Hotfix 1 + 5 DLCs,http://fitgirl-repacks.site/car-mechanic-simulator-2018/,2017-12-12,94,Simulation  3D  Cars,Red Dot Games / PlayWay,RUS/ENG/MULTI16,10444,6451,0.62,
