title,link,entryDate,comments,genres,companies,languages,originalSize,repackSize,repackRatio
Hatred,http://fitgirl-repacks.site/hatred/,2016-07-16,1,,,RUS/ENG/MULTI9Original Size: 1 9 GBRepack Size: 1 1 GB,1945,1126,0.58,
Headlander,http://fitgirl-repacks.site/headlander/,2016-07-30,5,,,RUS/ENG/MULTI6,3072,1945,0.63,
Hearts of Iron IV: Field Marshal Edition,http://fitgirl-repacks.site/hearts-of-iron-iv-field-marshal-edition/,2016-07-28,16,,,RUS/ENG/MULTI7Original Size: 1 GBRepack Size: 727 MB,1024,727,0.71,
Hellblade: Senua’s Sacrifice,http://fitgirl-repacks.site/hellblade-senuas-sacrifice/,2017-08-08,288,Action  Slasher  Third-person  3D,,RUS/ENG/MULTI20,13209,7884,0.6,
Helldivers,http://fitgirl-repacks.site/helldivers/,2016-07-21,9,,,RUS/ENG/MULTI18Original Size: 4.93 GBRepack Size: 1.29 GB,5048,1320,0.26,
Hello Neighbor,http://fitgirl-repacks.site/hello-neighbor/,2017-12-08,2,Adventure  Stealth  First-person  3D  Horror,Dynamic Pixels / tinyBuild,RUS/ENG/MULTI23,2764,1331,0.48,
Heroes of Might & Magic 3: HD Edition,http://fitgirl-repacks.site/heroes-of-might-magic-3-hd-edition/,2016-07-08,2,,,RUS/ENGOriginal Size: 1 5 GBRepack Size: 935 MB,1536,935,0.61,
Hitman GO: Definitive Edition,http://fitgirl-repacks.site/hitman-go-definitive-edition/,2016-07-23,8,,,ENG/MULTI6Original Size: 1.2 GBRepack Size: 292 MB,1228,292,0.24,
Hitman: Game of the Year Edition – v1.13.2,http://fitgirl-repacks.site/hitman-game-of-the-year-edition/,2017-11-11,2,Action  Shooter  Stealth  Third-person  3D,IO Interactive / Square Enix,RUS/ENG/MULTI10,74547,23244,0.31,
Hob – v1.10.2.0/Update 2,http://fitgirl-repacks.site/hob/,2017-09-27,,Arcade  Platform adventure  Puzzle solving  Third-person  3D,,RUS/ENG/MULTI20,2969,1228,0.41,
Home Sweet Home,http://fitgirl-repacks.site/home-sweet-home/,2017-09-28,,Adventure  First-person  3D  Horror,,RUS/ENG/MULTI9,5324,3584,0.67,
Homeworld Remastered Collection v2.1,http://fitgirl-repacks.site/homeworld-remastered-collection-v2-1/,2016-07-28,22,,,RUS/ENG/MULTI6Original Size: 6.9 GBRepack Size: 4.3 GB,7065,4403,0.62,
Homeworld: Deserts of Kharak,http://fitgirl-repacks.site/homeworld-deserts-of-kharak/,2016-07-22,2,,,RUS/ENG/MULTI6Original Size: 8.3 GBRepack Size: 3.1 GB,8499,3174,0.37,
Honey Select + 3 DLCs,http://fitgirl-repacks.site/honey-select-3-dlcs/,2017-05-19,497,Adult  Dating sim  First-person  3D  Japanese,,ENG,7884,3276,0.42,
Hotline Miami 2: Wrong Number,http://fitgirl-repacks.site/hotline-miami-2-wrong-number/,2016-07-14,4,,,RUS/ENG/MULTI7Original Size: 625 MBRepack Size: 504 MB,625,504,0.81,
How to Survive 2 + 3 DLC,http://fitgirl-repacks.site/survive-2-3-dlc/,2016-09-09,27,RPG  Action RPG  Open world  Survival  Isometric  3D,Eko Software / 505 Games,RUS/ENG/MULTI12,2969,1740,0.59,
How to Survive: Storm Warning Edition,http://fitgirl-repacks.site/how-to-survive-storm-warning-edition/,2016-07-06,3,,,RUS/ENG/MULTI7Original Size: 3 4 GBRepack Size: 1 2 GB,3481,1228,0.35,
How to Survive: Third Person Standalone + Update 1,http://fitgirl-repacks.site/how-to-survive-third-person-standalone-update-1/,2016-07-18,,,,RUS/ENG/MULTI7Original Size: 3.69 GBRepack Size: 1.14 GB,3778,1167,0.31,
Hunting Simulator – v1.1 + DLC,http://fitgirl-repacks.site/hunting-simulator/,2017-08-17,65,Sports  Open world  Hunting  3D,Neopica / Bigben Interactive,RUS/ENG/MULTI12,12083,4198,0.35,
Husk + Update 3,http://fitgirl-repacks.site/husk-update-3/,2017-02-15,29,Action  Survival  Horror  First-person  3D,UndeadScout / IMGN.PRO,RUS/ENG/MULTI8,12902,8499,0.66,
Hybrid Wars: Deluxe Edition – Working Co-op  3 Chars  Bonus Content,http://fitgirl-repacks.site/hybrid-wars-deluxe-edition-working-co-op-3-chars-bonus-content/,2016-09-30,44,Arcade  Shoot ’em up  Top-down  3D,Extreme Developers / Wargaming,RUS/ENG/MULTI6,5734,2867,0.5,
Hyperdimension Neptunia U: Action Unleashed,http://fitgirl-repacks.site/hyperdimension-neptunia-u-action-unleashed/,2016-07-24,5,,,ENG/JAPOriginal Size: 1.9 GBRepack Size: 1~1.5 GB [Selective Download],1945,1024,0.53,
Hyperdimension Neptunia: Re;Birth Trilogy,http://fitgirl-repacks.site/hyperdimension-neptunia-rebirth-trilogy/,2016-07-22,29,,,RUS/ENGOriginal Size: 22.8 GBRepack Size: 9.27/9.35 GB,23347,9492,0.41,
I am Bread,http://fitgirl-repacks.site/i-am-bread/,2016-07-14,2,,,,978,602,0.62,
I am Weapon: Revival,http://fitgirl-repacks.site/i-am-weapon-revival/,2016-07-31,1,,,RUS/ENG/MULTI4,2856,1925,0.67,
Immortal Redneck – v1.1.1,http://fitgirl-repacks.site/immortal-redneck-v1-1-1/,2017-04-28,16,Action  Shooter  First-person  3D,,RUS/ENG/MULTI8,1945,1433,0.74,
Impact Winter – v1.0.5,http://fitgirl-repacks.site/impact-winter-v1-0-5/,2017-05-27,40,RPG  Open world  Survival  Isometric  3D  Real-time,Mojo Bones / Bandai Namco Entertainment Europe,RUS/ENG/MULTI8,1638,604,0.37,
In Fear I Trust: Episodes 1-4 Collection Pack,http://fitgirl-repacks.site/fear-trust-episodes-1-4-collection-pack/,2016-09-22,16,Adventure  Puzzle solving  First-person  3D  Horror,Black Wing Foundation  Turn Me Up Games  1C,RUS/ENG/FRE,2867,2355,0.82,
InCell / InCell VR,http://fitgirl-repacks.site/incell-incell-vr/,2016-07-20,,,,,1228,292,0.24,
INFRA: Complete Edition,http://fitgirl-repacks.site/infra-complete-edition/,2017-09-29,,Adventure  Exploration  Puzzle solving  Survival  First-person  3D,,,10444,4608,0.44,
Inner Chains,http://fitgirl-repacks.site/inner-chains/,2017-05-19,41,Action  Shooter  3D  First-person,Telepaths Tree / IMGN.PRO,RUS/ENG/MULTI10,8089,4710,0.58,
INSIDE + Proper CPY Crack,http://fitgirl-repacks.site/inside-proper-cpy-crack/,2016-08-23,132,Arcade  Platform Adventure  Side,,RUS/ENG/MULTI14,2355,939,0.4,
Investigator,http://fitgirl-repacks.site/investigator/,2016-07-28,4,,,RUS/ENGOriginal Size: 4.8 GBRepack Size: 3.4 GB,4915,3481,0.71,
Invisible  Inc.,http://fitgirl-repacks.site/invisible-inc/,2016-07-15,1,,,RUS/ENGOriginal Size: 1 GBRepack Size: 841 MB,1024,841,0.82,
Jagged Alliance: Flashback,http://fitgirl-repacks.site/jagged-alliance-flashback/,2016-07-07,2,,,RUS/ENG/MULTI4Original Size: 1 4 GBRepack Size: 903 MB,1433,903,0.63,
Joe Dever’s Lone Wolf HD Remastered,http://fitgirl-repacks.site/joe-devers-lone-wolf-hd-remastered/,2016-07-06,2,,,,2969,1228,0.41,
Jotun,http://fitgirl-repacks.site/jotun/,2016-07-20,2,,,RUS/ENG/MULTI9Original Size: 3.09 GBRepack Size: 1.67 GB,3164,1710,0.54,
Juju,http://fitgirl-repacks.site/juju/,2016-07-07,2,,,RUS/ENG/MULTI8Original Size: 3 GBRepack Size: 2 24 GB,3072,2293,0.75,
Just Cause 3: XL Edition – v1.05 + All DLCs,http://fitgirl-repacks.site/just-cause-3-xl-edition-v1-05-dlcs/,2017-02-28,902,Action  Shooter  Open world  Third-person  3D,Avalanche Studios  Square Enix London Studios  Square Enix,RUS/ENG/MULTI10,61747,17100,0.28,
Kalimba,http://fitgirl-repacks.site/kalimba/,2016-07-15,,,,ENG/MULTI5Original Size: 1 52 GBRepack Size: 1 18 GB,1556,1208,0.78,
Kane & Lynch 2: Dog Days – Complete,http://fitgirl-repacks.site/kane-lynch-2-dog-days-complete/,2016-09-05,69,Action  Shooter  Third-person  3D,IO Interactive / Square Enix,RUS/ENG/MULTI7,7884,3072,0.39,
Kerbal Space Program v1.3,http://fitgirl-repacks.site/kerbal-space-program-v1-3/,2017-05-30,25,Simulation  Sandbox  Management  3D,,RUS/ENG/SPA,1638,518,0.32,
Kholat,http://fitgirl-repacks.site/kholat/,2016-07-16,9,,,RUS/ENG/MULTI9Original Size: 3 3 GBRepack Size: 2 4 GB,3379,2457,0.73,
Killer Instinct: Steam Edition,http://fitgirl-repacks.site/killer-instinct-steam-edition/,2017-09-28,,Arcade  Fighting  Side  3D,Double Helix Games  Iron Galaxy Studios  Microsoft Studios,RUS/ENG/MULTI8,34099,17920,0.53,
Killing Floor 2: Digital Deluxe Edition – v1048,http://fitgirl-repacks.site/killing-floor-2-digital-deluxe-edition-v1048/,2016-11-19,111,Action  Shooter  First-person  3D  Zombies,,RUS/ENG/MULTI18,20172,11264,0.56,
King’s Bounty: Ultimate Edition,http://fitgirl-repacks.site/kings-bounty-ultimate-edition/,2016-07-26,25,,,RUS/ENG/MULTI7Original Size: 12.7 GBRepack Size: from 4.2 GB [Selective Download],13004,4300,0.33,
King’s Quest: The Complete Collection (Chapters 1-5),http://fitgirl-repacks.site/kings-quest-complete-collection-chapters-1-5/,2016-10-26,54,Arcade  Platform adventure  Third-person  3D,The Odd Gentlemen / Sierra,ENG/FRA/GER,23756,4096,0.17,
Kona,http://fitgirl-repacks.site/kona/,2017-03-20,76,Adventure  Survival  First-person  3D,,ENG/MULTI5,4915,1433,0.29,
Kyn,http://fitgirl-repacks.site/kyn/,2016-07-19,,,,ENG/GEROriginal Size: 3.8 GBRepack Size: 2.9 GB,3891,2969,0.76,
L.A. Noire: The Complete Edition – v1.3.2617 + All DLCs,http://fitgirl-repacks.site/l-noire-complete-edition-v1-3-2617-dlcs/,2017-03-20,332,Action  Adventure  Third-person  3D,Team Bondi / Rockstar Games,RUS/ENG/MULTI6,13209,11264,0.85,
Lantern,http://fitgirl-repacks.site/lantern/,2016-11-15,5,Exploration  Third-person  3D,Storm in a Teacup / 1C Publishing EU,RUS/ENG/MULTI6,1024,638,0.62,
Lara Croft and the Temple of Osiris,http://fitgirl-repacks.site/lara-croft-and-the-temple-of-osiris/,2016-07-07,5,,,RUS/ENGOriginal Size: 3 2 GBRepack Size: 1 95 GB,3276,1996,0.61,
Lara Croft GO + The Mirror of Spirits,http://fitgirl-repacks.site/lara-croft-go/,2017-03-06,144,Logic  Puzzle  Isometric  3D  Turn-based,Square Enix Montreal / Square Enix,RUS/ENG/MULTI7,1433,355,0.25,
Late Shift,http://fitgirl-repacks.site/late-shift/,2017-04-20,72,Interactive movie  2D,CtrlMovie / Wales Interactive,ENG/MULTI4,14745,7168,0.49,
Layers of Fear v1.1.0 + Inheritance DLC,http://fitgirl-repacks.site/layers-of-fear-v1-1-0-inheritance-dlc/,2016-08-02,22,,,RUS/ENG/MULTI11,2560,1433,0.56,
Legend of Grimrock 2 v2.24 + Bonus Stuff,http://fitgirl-repacks.site/legend-of-grimrock-2-v2-24-bonus-stuff/,2016-07-18,1,,,RUS/ENGOriginal Size: 1.5 GBRepack Size: 826 MB,1536,826,0.54,
Legends of Eisenwald v 1.003,http://fitgirl-repacks.site/legends-of-eisenwald-v-1-003/,2016-07-18,,,,RUS/ENG/MULTI6Original Size: 1.07 GBRepack Size: 665 MB,1095,665,0.61,
LEGO City Undercover + Update 1,http://fitgirl-repacks.site/lego-city-undercover-update-1/,2017-04-09,94,Arcade  Third-person  3D,TT Games  Warner Bros. Interactive Entertainment,RUS/ENG/MULTI12,17715,5427,0.31,
LEGO Jurassic World + Update 1 + All DLCs,http://fitgirl-repacks.site/lego-jurassic-world-update-1-all-dlcs/,2016-07-22,3,,,RUS/ENG/MULTI10Original Size: 20.7 GBRepack Size: 4.7/4.8 GB [Selective Download],21196,4812,0.23,
LEGO Marvel Super Heroes 2 + 2 DLCs,http://fitgirl-repacks.site/lego-marvel-super-heroes-2/,2017-11-17,2,Arcade  Third-person  3D,TT Games / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI14,21606,6758,0.31,
LEGO Marvel’s Avengers v1.0.0.28133 + 11 DLC,http://fitgirl-repacks.site/lego-marvels-avengers-v1-0-0-28133-11-dlc/,2016-07-29,27,,,RUS/ENG/MULTI12Original Size: 14.4 GBRepack Size: from 5.7 GB [Selective Download],14745,5836,0.4,
LEGO Star Wars: The Force Awakens  v1.03 (build 1.0.0.33084) + 12 DLCs,http://fitgirl-repacks.site/lego-star-wars-force-awakens-v1-03-build-1-0-0-33084-12-dlcs/,2016-11-27,70,Arcade  Third-person  3D,TT Games / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI10,19148,7168,0.37,
LEGO Worlds,http://fitgirl-repacks.site/lego-worlds/,2017-03-09,82,Action  Exploration  Open world  Sandbox  Third-person  3D,TT Games / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI20,2150,861,0.4,
Lemma,http://fitgirl-repacks.site/lemma/,2016-07-15,1,,,ENG/POLOriginal Size: 431 MBRepack Size: 349 MB,431,349,0.81,
Lex Mortis,http://fitgirl-repacks.site/lex-mortis/,2016-07-09,,,,,2560,1638,0.64,
Life is Strange: Complete Season 1 (Episodes 1-5),http://fitgirl-repacks.site/life-is-strange-complete-season-1-episodes-1-5/,2016-07-21,59,,,ENG/FRAOriginal Size: 10.6 GBRepack Size: 7.7 GB,10854,7884,0.73,
Lightning Returns: Final Fantasy XIII,http://fitgirl-repacks.site/lightning-returns-final-fantasy-xiii/,2016-07-22,26,,,RUS/ENG/MULTI6Original Size: 19.2 GBRepack Size: 7.6/11.7 GB [Selective Download],19660,7782,0.4,
Little Nightmares + 4 Masks + OST + Wallpapers,http://fitgirl-repacks.site/little-nightmares-4-masks-ost-wallpapers/,2017-04-28,100,Arcade  Platform adventure  Side  3D,Tarsier Studios / Bandai Namco Entertainment,RUS/ENG/MULTI12,3031,1597,0.53,
Livelock – v25031,http://fitgirl-repacks.site/livelock-v25031/,2016-09-09,23,Action  Shooter  Top-down  3D,Tuque Games / Perfect World,RUS/ENG/MULTI4,9932,4505,0.45,
Lords of the Fallen v1.6 + All DLCs + Bonus Content,http://fitgirl-repacks.site/lords-of-the-fallen-v1-6-all-dlcs-bonus-content/,2016-07-19,32,,,RUS/ENG/MULTI13Original Size: 17.3 GBRepack Size: 5.8~6.1 GB [Selective Download],17715,5939,0.34,
Lost Orbit,http://fitgirl-repacks.site/lost-orbit/,2016-07-15,,,,RUS/ENG/MULTI8Original Size: 596 MBRepack Size: 335 MB,596,335,0.56,
Lost Planet 3: Complete,http://fitgirl-repacks.site/lost-planet-3-complete/,2016-07-27,5,,,RUS/ENG/MULTI9Original Size: 22.6 GBRepack Size: from 8.7 GB [Selective Download],23142,8908,0.38,
Lucius 2 : The Prophecy,http://fitgirl-repacks.site/lucius-2-the-prophecy/,2016-07-09,3,,,,4915,2048,0.42,
Lumini,http://fitgirl-repacks.site/lumini/,2016-07-20,,,,RUS/ENG/MULTI9Original Size: 1.4 GBRepack Size: 535 MB,1433,535,0.37,
Mad Max – v1.0.3.0 + All DLCs,http://fitgirl-repacks.site/mad-max-v1-0-3-0-dlcs/,2017-03-22,384,Action  Shooter  Driving  Third-person  3D,Avalanche Studios / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI9,32768,3860,0.12,
Mafia 2: Digital Deluxe Edition v.1.0.0.1,http://fitgirl-repacks.site/mafia-2-digital-deluxe-edition-v-1-0-0-1/,2016-09-19,224,Action  Shooter  Driving  Third-person  3D,2K Czech / 2K Games,RUS/ENG/MULTI8,8192,4096,0.5,
Mafia 3: Digital Deluxe Edition – v1.09 + 6 DLCs,http://fitgirl-repacks.site/mafia-3-digital-deluxe-edition/,2017-07-28,1,Action  Shooter  Driving  Open world  3D,Hangar 13 / 2K Games,RUS/ENG/MULTI13,51404,20684,0.4,
Mages of Mystralia,http://fitgirl-repacks.site/mages-of-mystralia/,2017-05-19,25,RPG  Action RPG  3D,,RUS/ENG/MULTI7,4710,1945,0.41,
Magical Battle Festa,http://fitgirl-repacks.site/magical-battle-festa/,2016-07-06,,,,ENG/JAPOriginal Size: 560 MBRepack Size: 321 MB,560,321,0.57,
Magicka 2,http://fitgirl-repacks.site/magicka-2/,2016-07-16,5,,,RUS/ENG/MULTI8Original Size: 2 1 GBRepack Size: 664 MB,2150,664,0.31,
Magnetic: Cage Closed – Collector’s Edition,http://fitgirl-repacks.site/magnetic-cage-closed-collectors-edition/,2016-07-16,,,,RUS/ENG/MULTI7Original Size: 2 GBRepack Size: 1 1 GB,2048,1126,0.55,
Magnifico,http://fitgirl-repacks.site/magnifico/,2016-07-06,,,,MULTI6/RUS/ENGOriginal Size: 452 MBRepack Size: 259 MB,452,259,0.57,
Maize,http://fitgirl-repacks.site/maize/,2016-12-07,34,Adventure  Puzzle solving  First-person  3D,,,6656,3891,0.58,
Man O’ War: Corsair – Warhammer Naval Battles – v1.0,http://fitgirl-repacks.site/man-o-war-corsair-warhammer-naval-battles-v1-0/,2017-04-20,95,RPG  Open world  Pirate/Privateer  Third-person  3D,,ENG/MULTI5,10854,5120,0.47,
Mantis Burn Racing + 3 DLCs,http://fitgirl-repacks.site/mantis-burn-racing/,2017-09-17,140,Arcade  Racing  Top-down  3D,,RUS/ENG/MULTI9,8806,5324,0.6,
Mars 2030,http://fitgirl-repacks.site/mars-2030/,2017-08-02,33,Exploration  First-person  3D  VR,FMG Labs / Fusion Media Group,,13926,6860,0.49,
Marvel vs. Capcom: Infinite,http://fitgirl-repacks.site/marvel-vs-capcom-infinite/,2017-10-01,,Arcade  Fighting  Side  3D,,RUS/ENG/MULTI14,55808,11468,0.21,
Marvel’s Guardians of the Galaxy: The Telltale Series – Complete Season,http://fitgirl-repacks.site/marvels-guardians-of-the-galaxy-the-telltale-series-complete-season/,2017-11-08,1,Adventure  QTE  3D,,RUS/ENG/MULTI9,18124,6144,0.34,
Marvel: Ultimate Alliance Bundle – 1 + 2,http://fitgirl-repacks.site/marvel-ultimate-alliance-bundle-1-2/,2016-07-30,35,,,ENG/ITA,10240,7577,0.74,
Masquerada: Songs and Shadows – v1.10 GOG DRM-Free,http://fitgirl-repacks.site/masquerada-songs-shadows-v1-10-gog-drm-free/,2016-10-20,27,RPG  Isometric  3D models on 2D backgrounds  Party-based  Pausable real-time,Witching Hour Studios / Ysbryd Games,,6656,5427,0.82,
Mass Effect – v1.02 + 2 DLCs + Bonus Content,http://fitgirl-repacks.site/mass-effect/,2017-07-11,116,Action  Shooter  RPG  Third-person  3D,BioWare / Electronic Arts,RUS/ENG/MULTI6,42086,3174,0.08,
Mass Effect: Andromeda – Super Deluxe Edition v1.0.9 + All DLCs,http://fitgirl-repacks.site/mass-effect-andromeda-super-deluxe-edition/,2017-07-20,1,Action  Shooter  RPG  Open world  Third-person  3D,BioWare Montreal  BioWare Edmonton  Electronic Arts,RUS/ENG/MULTI8,56217,30412,0.54,
Massive Chalice,http://fitgirl-repacks.site/massive-chalice/,2016-07-16,,,,ENG/MULTI5Original Size: 954 MBRepack Size: 567 MB,954,567,0.59,
Master of Orion: Collector’s Edition + Revenge of Antares + Bonus Content,http://fitgirl-repacks.site/master-orion-collectors-edition/,2016-12-09,54,Strategy  4X  3D  Pausable real-time  Turn-based,NGD Studios / Wargaming,RUS/ENG/MULTI11,4608,2355,0.51,
Max Payne 3: Complete Edition – v1.0.0.196 + All DLCs,http://fitgirl-repacks.site/max-payne-3-complete-edition-v1-0-0-196-dlcs/,2017-03-13,562,Action  Shooter  Third-person  3D,Rockstar Vancouver / Rockstar Games,RUS/ENG/MULTI10,30924,15462,0.5,
Mechs & Mercs: Black Talons (v1.0.11.24),http://fitgirl-repacks.site/mechs-mercs-black-talons-v1-0-11-24/,2016-07-08,,,,RUS/ENG/MULTI7Original Size: 6 4 GBRepack Size: 1 5 GB,6553,1536,0.23,
Megadimension Neptunia VII + Update 2 + 14 DLC  FIXED,http://fitgirl-repacks.site/megadimension-neptunia-vii-14-dlc/,2016-08-04,102,,,ENG/JAP,13619,4505,0.33,
MegaTagmension Blanc + Neptune VS Zombies – Deluxe Edition – v1.01 (Update 1),http://fitgirl-repacks.site/megatagmension-blanc-neptune-vs-zombies-deluxe-edition-v1-01-update-1/,2016-10-05,32,Action  Beat ’em up (Brawler)  Third-person  3D,Idea Factory  Compile Heart  Tamsoft,ENG/JAP,1740,950,0.55,
Mekazoo,http://fitgirl-repacks.site/mekazoo/,2016-11-15,9,Arcade  Jump and run  Side  3D,,RUS/ENG/MULTI27,7475,1945,0.26,
Meridian: Squad 22 + Hotfix 2,http://fitgirl-repacks.site/meridian-squad-22-hotfix-2/,2016-08-12,14,,,ENG/HUN,3379,1945,0.58,
Metal Gear Rising: Revengeance + Update 2,http://fitgirl-repacks.site/metal-gear-rising-revengeance/,2017-07-19,106,Action  Slasher  Third-person  3D  Japanese,PlatinumGames  Kojima Productions  Konami,RUS/ENG/MULTI7,27238,8345,0.31,
Metal Gear Solid V: Ground Zeroes – v1.0.0.5 + CrackFix,http://fitgirl-repacks.site/metal-gear-solid-v-ground-zeroes-v1-0-0-5-crackfix/,2016-11-30,132,Action  TPS  Stealth  3D  Paid Demo,Kojima Productions / Konami,RUS/ENG/MULTI8,4608,1843,0.4,
Metal Gear Solid V: The Phantom Pain – v1.0.7.1/v1.10 + All DLCs,http://fitgirl-repacks.site/metal-gear-solid-v-phantom-pain/,2016-12-03,756,Action  Open world  Stealth  First-person  Third-person  3D,Kojima Productions / Konami,RUS/ENG/MULTI8,29388,11776,0.4,
Micro Machines: World Series,http://fitgirl-repacks.site/micro-machines-world-series/,2017-06-30,28,Arcade  Racing  Top-down  3D,,ENG/MULTI5,2150,1126,0.52,
Microsoft Flight Simulator X: Steam Edition v10.0.62615.0,http://fitgirl-repacks.site/microsoft-flight-simulator-x-steam-edition-v10-0-62615-0/,2016-07-27,105,,,,16179,7782,0.48,
Middle-Earth: Shadow of Mordor – Game of the Year Edition – v1951.27 + all DLCs,http://fitgirl-repacks.site/middle-earth-shadow-mordor-game-year-edition-v1951-27-dlcs/,2017-05-04,207,Action  Third-person  3D  Open world  QTE  Stealth  Beat ’em up (Brawler),Monolith Productions / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI8,54579,16998,0.31,
Middle-earth: Shadow of War + 2 DLCs + 4K Cinematic + HD Texture Pack,http://fitgirl-repacks.site/middle-earth-shadow-of-war/,2017-10-30,4,Action  Slasher  Open world  Stealth  Third-person  3D,Monolith Productions,RUS/ENG/MULTI13,99123,24473,0.25,
Might & Magic: Heroes VII v1.8 + DLCs,http://fitgirl-repacks.site/might-magic-heroes-vii-v1-8-dlcs/,2016-07-27,50,,,RUS/ENG/MULTI10Original Size: 21.8 GBRepack Size: 9.4~10.4 GB [Selective Download],22323,9625,0.43,
Mighty No. 9 + 4 DLC,http://fitgirl-repacks.site/mighty-no-9-4-dlc/,2016-07-28,2,,,RUS/ENG/MULTI11Original Size: 1.7 GBRepack Size: 856 MB,1740,856,0.49,
Minecraft: Story Mode – Complete Season (Episodes 1-8),http://fitgirl-repacks.site/minecraft-story-mode-complete-season-episodes-1-8/,2016-09-15,33,Adventure  3D  Retro look,,RUS/ENG/MULTI7,5734,3174,0.55,
Miniature: The Story Puzzle,http://fitgirl-repacks.site/miniature-story-puzzle/,2016-12-13,46,Logic  Puzzle  Isometric  3D,,,1740,1024,0.59,
Mining Industry Simulator,http://fitgirl-repacks.site/mining-industry-simulator/,2016-07-06,,,,MULTI3/ENGOriginal Size: 820 MBRepack Size: 538 MB,820,538,0.66,
Mirror’s Edge  GOG DRM-Free v1.0.1.0,http://fitgirl-repacks.site/mirrors-edge-gog-drm-free-v1-0-1-0/,2016-09-23,79,Action  Shooter  Arcade  Platform adventure  First-person  3D,DICE / Electronic Arts,RUS/ENG/MULTI10,5734,3788,0.66,
Mirror’s Edge: Catalyst – v1.0.3.47248 + 2 DLC,http://fitgirl-repacks.site/mirrors-edge-catalyst-v1-0-3-47248-2-dlc/,2016-10-05,239,Arcade  Platform adventure  Open world  First-person  3D,DICE / EA,RUS/ENG/MULTI9,23756,17100,0.72,
Moero Chronicle: Deluxe Bundle – v1.0.06,http://fitgirl-repacks.site/moero-chronicle-deluxe-bundle-v1-0-06/,2017-08-18,79,RPG  Dungeon crawl  First-person  3D  Turn-based  Japanese,Compile Heart / Idea Factory,ENG/MULTI3,5222,3379,0.65,
Monopoly Plus,http://fitgirl-repacks.site/monopoly-plus/,2017-10-06,,Board game  Logic  3D,Asobo Studio / Ubisoft Entertainment,RUS/ENG/MULTI10,1126,582,0.52,
Monster Jam: Battlegrounds,http://fitgirl-repacks.site/monster-jam-battlegrounds/,2016-07-16,,,,ENG/MULTI5Original Size: 666 MBRepack Size: 342 MB,666,342,0.51,
Monstrum,http://fitgirl-repacks.site/monstrum/,2016-07-16,2,,,,1740,1228,0.71,
Montague’s Mount (v1.4.0f91),http://fitgirl-repacks.site/montagues-mount-v1-4-0f91/,2016-07-08,1,,,RUS/ENG/MULTI7Original Size: 601 MBRepack Size: 405 MB,601,405,0.67,
Mordheim: City of the Damned v1.3.4.2 + 5 DLC,http://fitgirl-repacks.site/mordheim-city-of-the-damned-v1-3-4-2-5-dlc/,2016-07-28,10,,,RUS/ENG/MULTI7Original Size: 9.5 GBRepack Size: 3/3.1 GB [Selective Download],9728,3072,0.32,
Mortal Kombat XL,http://fitgirl-repacks.site/mortal-kombat-xl/,2016-10-06,201,Arcade  Fighting  Side  3D,NetherRealm Studios   High Voltage Software  Warner Bros.,RUS/ENG/MULTI8,39731,23552,0.59,
Mother Russia Bleeds,http://fitgirl-repacks.site/mother-russia-bleeds/,2016-09-05,25,Le Cartel / Devolver Digital,,RUS/ENG/MULTI7,1740,637,0.37,
Moto Racer 4 – v1.5 + All DLCs + Multiplayer,http://fitgirl-repacks.site/moto-racer-4/,2017-06-20,46,Racing  Third-person  3D  Motorcycles,Artefacts Studio / Microids,RUS/ENG/MULTI7,2457,1945,0.79,
MotoGP 14: Complete Edition – v1.001 + 4 DLCs,http://fitgirl-repacks.site/motogp-14-complete-edition-v1-001-4-dlcs/,2017-01-04,78,Racing  Simulation  3D  Motorcycles,Milestone / PQube,ENG/MULTI6,15155,7987,0.53,
MotoGP 15,http://fitgirl-repacks.site/motogp-15/,2016-07-17,9,,,ENG/MULTI7Original Size: 18.9 GBRepack Size: 10.1 GB,19353,10342,0.53,
MotoGP 17,http://fitgirl-repacks.site/motogp-17/,2017-06-17,41,Racing  Sports  First-person  Third-person  3D  Motorcycles,,ENG/MULTI6,10956,5324,0.49,
Motorcycle Club,http://fitgirl-repacks.site/motorcycle-club/,2016-07-06,4,,,MULTI5/EngOriginal Size: 2 7 GBRepack Size: 780 MB,2764,780,0.28,
Motorsport Manager – v1.4.14933 + 4 DLC,http://fitgirl-repacks.site/motorsport-manager/,2017-08-23,49,Managerial  Racing  Sports  3D,Playsport Games / Sega Europe,RUS/ENG/MULTI10,9318,3788,0.41,
Mount & Blade: Warband – Viking Conquest,http://fitgirl-repacks.site/mount-blade-warband-viking-conquest/,2016-07-07,5,,,ENG/MULTI10Original Size: 2 3 GBRepack Size: 1 5 GB,2355,1536,0.65,
Mount & Blade: Warband – Viking Conquest – Reforged Edition,http://fitgirl-repacks.site/mount-blade-warband-viking-conquest-reforged-edition/,2016-07-19,18,,,RUS/ENG/MULTI11Original Size: 2.7 GBRepack Size: 1.7 GB,2764,1740,0.63,
Mr. Shifty,http://fitgirl-repacks.site/mr-shifty/,2017-04-15,85,Arcade  Beat ’em up  Top-down  2D,Team Shifty / tinyBuild,ENG/MULTI6,1740,538,0.31,
